Plot_ID,Year,Season,CW_Light,CW_Moisture,CW_pH,CW_Nitrogen,CW_Salt
8101,2009,2,0,0,0,0,0
8101,2009,3,7,10,6,6,0
8101,2010,1,NaN,NaN,NaN,NaN,NaN
8101,2010,2,NaN,NaN,NaN,NaN,NaN
8101,2010,3,NaN,NaN,NaN,NaN,NaN
8101,2011,1,NaN,NaN,NaN,NaN,NaN
8102,2009,2,7,11,7,6,0
8102,2009,3,7,10,6,6,0
8102,2010,1,7,12,7,5,0
8102,2010,2,7,12,7,5,0
8102,2010,3,7,9,6,6,1
8102,2011,1,0,0,0,0,0
8103,2009,2,4,7,4,3,0
8103,2009,3,7,11,6,5,0
8103,2010,1,3,4,3,2,0
8103,2010,2,NaN,NaN,NaN,NaN,NaN
8103,2010,3,0,0,0,0,0
8103,2011,1,0,0,0,0,0
8104,2009,2,5,9,5,4,0
8104,2009,3,5,9,5,4,0
8104,2010,1,7,12,7,5,0
8104,2010,2,NaN,NaN,NaN,NaN,NaN
8104,2010,3,NaN,NaN,NaN,NaN,NaN
8104,2011,1,5,6,5,5,1
8201,2009,2,0,1,0,0,0
8201,2009,3,5,9,5,4,0
8201,2010,1,1,1,1,0,0
8201,2010,2,3,6,3,2,0
8201,2010,3,6,6,6,6,0
8201,2011,1,6,7,6,4,0
8202,2009,2,3,5,3,2,0
8202,2009,3,6,10,6,4,0
8202,2010,1,0,0,0,0,0
8202,2010,2,1,2,1,1,0
8202,2010,3,6,6,5,6,0
8202,2011,1,7,10,7,7,0
8203,2009,2,6,10,6,4,0
8203,2009,3,7,12,7,5,0
8203,2010,1,6,10,6,4,0
8203,2010,2,7,12,7,5,0
8203,2010,3,0,0,0,0,0
8203,2011,1,0,0,0,0,0
8204,2009,2,0,0,0,0,0
8204,2009,3,NaN,NaN,NaN,NaN,NaN
8204,2010,1,0,0,0,0,0
8204,2010,2,1,2,1,1,0
8204,2010,3,0,0,0,0,0
8204,2011,1,2,2,2,1,0
8301,2009,2,7,11,6,5,0
8301,2009,3,7,11,7,5,0
8301,2010,1,7,11,7,5,0
8301,2010,2,NaN,NaN,NaN,NaN,NaN
8301,2010,3,3,3,3,3,1
8301,2011,1,0,0,0,0,0
8302,2009,2,7,12,7,5,0
8302,2009,3,7,12,7,5,0
8302,2010,1,7,12,7,5,0
8302,2010,2,NaN,NaN,NaN,NaN,NaN
8302,2010,3,1,1,1,1,0
8302,2011,1,4,4,4,4,1
8303,2009,2,7,11,7,5,0
8303,2009,3,6,11,6,5,0
8303,2010,1,7,11,7,5,0
8303,2010,2,NaN,NaN,NaN,NaN,NaN
8303,2010,3,NaN,NaN,NaN,NaN,NaN
8303,2011,1,2,2,2,2,0
8304,2009,2,7,11,7,5,0
8304,2009,3,7,12,7,5,0
8304,2010,1,7,12,7,5,0
8304,2010,2,NaN,NaN,NaN,NaN,NaN
8304,2010,3,NaN,NaN,NaN,NaN,NaN
8304,2011,1,2,3,2,2,0
8401,2009,2,7,12,7,5,0
8401,2009,3,2,4,2,2,0
8401,2010,1,3,5,3,2,0
8401,2010,2,NaN,NaN,NaN,NaN,NaN
8401,2010,3,1,2,1,1,0
8401,2011,1,3,4,3,3,0
8402,2009,2,7,12,7,5,0
8402,2009,3,6,10,6,4,0
8402,2010,1,3,5,3,2,0
8402,2010,2,NaN,NaN,NaN,NaN,NaN
8402,2010,3,0,0,0,0,0
8402,2011,1,0,0,0,0,0
8403,2009,2,7,11,7,5,0
8403,2009,3,7,11,7,5,0
8403,2010,1,1,1,1,1,0
8403,2010,2,0,0,0,0,0
8403,2010,3,0,0,0,0,0
8403,2011,1,1,1,0,0,0
8404,2009,2,7,11,7,5,0
8404,2009,3,6,10,6,4,0
8404,2010,1,4,6,4,3,0
8404,2010,2,7,10,7,7,0
8404,2010,3,4,6,4,4,0
8404,2011,1,1,2,1,1,0
8501,2009,2,5,8,5,4,0
8501,2009,3,6,10,6,5,0
8501,2010,1,4,7,4,4,0
8501,2010,2,2,3,2,2,0
8501,2010,3,4,5,4,4,0
8501,2011,1,1,1,1,1,0
8502,2009,2,7,12,7,5,0
8502,2009,3,7,12,7,5,0
8502,2010,1,7,12,7,5,0
8502,2010,2,7,10,6,6,0
8502,2010,3,7,6,6,7,0
8502,2011,1,6,8,5,5,0
8503,2009,2,7,11,7,7,0
8503,2009,3,6,10,6,6,0
8503,2010,1,6,10,6,5,0
8503,2010,2,8,10,7,7,0
8503,2010,3,7,10,7,7,0
8503,2011,1,5,7,5,5,0
8504,2009,2,5,8,5,5,0
8504,2009,3,4,7,4,4,0
8504,2010,1,3,4,3,2,0
8504,2010,2,3,4,3,3,0
8504,2010,3,5,7,5,5,0
8504,2011,1,2,2,2,2,0
8601,2009,2,6,10,6,4,0
8601,2009,3,7,12,7,5,0
8601,2010,1,3,5,3,3,0
8601,2010,2,5,7,5,5,0
8601,2010,3,5,7,5,5,0
8601,2011,1,4,4,3,2,0
8602,2009,2,5,7,4,4,0
8602,2009,3,7,10,7,6,0
8602,2010,1,6,9,6,6,0
8602,2010,2,7,10,6,6,0
8602,2010,3,6,8,6,5,0
8602,2011,1,3,4,3,3,0
8603,2009,2,1,2,1,1,0
8603,2009,3,1,1,1,0,0
8603,2010,1,4,5,4,3,0
8603,2010,2,6,7,6,4,0
8603,2010,3,3,3,3,2,0
8603,2011,1,3,4,3,2,0
8604,2009,2,2,3,2,2,0
8604,2009,3,2,3,2,2,0
8604,2010,1,5,7,5,4,0
8604,2010,2,7,8,6,5,0
8604,2010,3,7,8,6,5,0
8604,2011,1,6,7,6,4,0
8701,2009,2,6,11,6,4,0
8701,2009,3,7,12,7,5,0
8701,2010,1,6,11,6,5,0
8701,2010,2,2,4,2,2,0
8701,2010,3,NaN,NaN,NaN,NaN,NaN
8701,2011,1,2,2,2,1,0
8702,2009,2,7,11,7,5,0
8702,2009,3,6,9,6,5,0
8702,2010,1,7,11,7,5,0
8702,2010,2,7,10,7,7,0
8702,2010,3,7,10,7,7,0
8702,2011,1,7,10,7,5,0
8703,2009,2,6,11,6,5,0
8703,2009,3,6,9,6,5,0
8703,2010,1,6,9,6,5,0
8703,2010,2,7,9,6,6,1
8703,2010,3,6,7,6,4,0
8703,2011,1,7,9,7,5,0
8704,2009,2,6,11,6,5,0
8704,2009,3,7,12,7,5,0
8704,2010,1,6,9,6,5,0
8704,2010,2,NaN,NaN,NaN,NaN,NaN
8704,2010,3,7,10,6,6,0
8704,2011,1,8,8,8,8,2
8801,2009,2,0,0,0,0,0
8801,2009,3,7,10,6,6,0
8801,2010,1,7,11,7,5,0
8801,2010,2,4,5,4,4,0
8801,2010,3,NaN,NaN,NaN,NaN,NaN
8801,2011,1,7,10,7,7,0
8802,2009,2,4,6,4,3,0
8802,2009,3,7,10,6,6,0
8802,2010,1,6,10,6,5,0
8802,2010,2,6,7,6,4,0
8802,2010,3,4,5,4,3,0
8802,2011,1,6,7,6,4,0
8803,2009,2,6,12,7,6,0
8803,2009,3,7,11,7,5,0
8803,2010,1,2,3,2,1,0
8803,2010,2,0,0,0,0,0
8803,2010,3,2,4,2,2,0
8803,2011,1,0,0,0,0,0
8804,2009,2,7,10,7,6,2
8804,2009,3,7,10,7,6,2
8804,2010,1,6,9,6,5,2
8804,2010,2,7,10,7,6,2
8804,2010,3,7,10,7,6,2
8804,2011,1,7,10,7,6,2
8901,2009,2,7,11,7,5,0
8901,2009,3,6,10,6,5,0
8901,2010,1,7,9,6,5,0
8901,2010,2,8,10,7,7,0
8901,2010,3,NaN,NaN,NaN,NaN,NaN
8901,2011,1,4,6,4,4,0
8902,2009,2,7,11,7,5,0
8902,2009,3,6,9,6,5,0
8902,2010,1,7,10,7,6,0
8902,2010,2,8,10,7,7,0
8902,2010,3,8,10,7,7,0
8902,2011,1,6,8,5,5,0
8903,2009,2,3,4,3,2,0
8903,2009,3,6,7,5,4,0
8903,2010,1,6,8,6,4,0
8903,2010,2,5,6,5,4,0
8903,2010,3,6,8,6,5,0
8903,2011,1,7,9,6,6,0
8904,2009,2,4,5,4,4,0
8904,2009,3,5,7,4,4,0
8904,2010,1,6,10,6,5,0
8904,2010,2,5,6,5,4,0
8904,2010,3,7,9,6,6,1
8904,2011,1,6,7,5,5,0
9001,2009,2,4,7,4,3,0
9001,2009,3,4,7,4,4,0
9001,2010,1,2,3,2,2,0
9001,2010,2,6,9,5,4,0
9001,2010,3,3,5,3,3,0
9001,2011,1,2,3,2,2,0
9002,2009,2,2,4,2,2,0
9002,2009,3,4,7,4,3,0
9002,2010,1,4,7,4,3,0
9002,2010,2,3,4,3,3,0
9002,2010,3,5,7,5,5,0
9002,2011,1,5,7,5,5,0
9003,2009,2,1,1,1,1,0
9003,2009,3,1,1,1,1,0
9003,2010,1,2,3,2,2,0
9003,2010,2,1,2,1,1,0
9003,2010,3,2,3,2,2,0
9003,2011,1,2,3,2,2,0
9004,2009,2,4,6,4,4,0
9004,2009,3,6,10,6,5,0
9004,2010,1,5,8,5,5,0
9004,2010,2,4,6,4,4,0
9004,2010,3,5,7,5,5,0
9004,2011,1,6,9,6,5,0
9101,2009,2,7,12,7,5,0
9101,2009,3,7,12,7,5,0
9101,2010,1,3,5,3,2,0
9101,2010,2,NaN,NaN,NaN,NaN,NaN
9101,2010,3,3,4,3,3,0
9101,2011,1,5,9,5,4,0
9102,2009,2,3,5,3,3,0
9102,2009,3,6,9,6,5,0
9102,2010,1,5,8,5,4,0
9102,2010,2,3,4,3,3,0
9102,2010,3,3,4,3,3,0
9102,2011,1,6,10,6,4,0
9103,2009,2,6,9,6,4,0
9103,2009,3,3,5,3,2,0
9103,2010,1,2,3,2,1,0
9103,2010,2,0,0,0,0,0
9103,2010,3,NaN,NaN,NaN,NaN,NaN
9103,2011,1,5,7,5,4,0
9104,2009,2,1,2,1,1,0
9104,2009,3,2,3,2,2,0
9104,2010,1,2,4,2,2,0
9104,2010,2,1,2,1,1,0
9104,2010,3,2,3,2,2,0
9104,2011,1,4,6,4,3,0
9201,2009,2,5,8,5,4,0
9201,2009,3,6,10,6,5,0
9201,2010,1,4,6,4,3,0
9201,2010,2,1,1,0,0,0
9201,2010,3,3,4,3,3,0
9201,2011,1,7,11,7,5,0
9202,2009,2,6,10,6,4,0
9202,2009,3,5,8,5,4,0
9202,2010,1,4,6,4,3,0
9202,2010,2,3,4,3,2,0
9202,2010,3,3,4,3,3,0
9202,2011,1,6,10,6,4,0
9203,2009,2,4,6,4,3,0
9203,2009,3,4,7,4,4,0
9203,2010,1,1,2,1,1,0
9203,2010,2,NaN,NaN,NaN,NaN,NaN
9203,2010,3,2,2,2,1,0
9203,2011,1,4,6,4,3,0
9204,2009,2,4,7,4,3,0
9204,2009,3,7,11,6,5,0
9204,2010,1,5,8,5,4,0
9204,2010,2,3,4,3,3,0
9204,2010,3,4,5,4,4,0
9204,2011,1,6,9,5,4,0
9301,2009,2,7,12,7,5,0
9301,2009,3,7,12,7,5,0
9301,2010,1,6,10,6,4,0
9301,2010,2,NaN,NaN,NaN,NaN,NaN
9301,2010,3,2,3,2,2,0
9301,2011,1,7,12,7,5,0
9302,2009,2,2,3,2,1,0
9302,2009,3,5,9,5,4,0
9302,2010,1,6,9,6,4,0
9302,2010,2,0,0,0,0,0
9302,2010,3,0,0,0,0,0
9302,2011,1,4,7,4,3,0
9303,2009,2,7,12,7,5,0
9303,2009,3,7,12,7,5,0
9303,2010,1,4,6,4,3,0
9303,2010,2,0,0,0,0,0
9303,2010,3,0,0,0,0,0
9303,2011,1,3,6,3,3,0
9501,2009,2,7,11,7,6,0
9501,2009,3,7,10,7,7,0
9501,2010,1,6,10,6,6,0
9501,2010,2,6,9,6,6,0
9501,2010,3,7,9,7,6,0
9501,2011,1,7,11,7,5,0
9502,2009,2,6,10,6,4,0
9502,2009,3,7,12,7,5,0
9502,2010,1,4,5,3,3,0
9502,2010,2,8,10,7,7,0
9502,2010,3,8,10,7,7,0
9502,2011,1,4,6,4,3,0
9503,2009,2,7,12,7,5,0
9503,2009,3,7,12,7,5,0
9503,2010,1,7,11,7,5,0
9503,2010,2,NaN,NaN,NaN,NaN,NaN
9503,2010,3,0,0,0,0,0
9503,2011,1,5,8,5,3,0
9504,2009,2,7,12,7,5,0
9504,2009,3,7,9,7,5,0
9504,2010,1,4,7,4,3,0
9504,2010,2,0,0,0,0,0
9504,2010,3,0,0,0,0,0
9504,2011,1,7,12,7,5,0
9601,2009,2,7,10,6,6,0
9601,2009,3,7,10,6,6,0
9601,2010,1,1,2,1,1,0
9601,2010,2,4,4,4,4,0
9601,2010,3,7,8,7,7,0
9601,2011,1,7,10,7,6,0
9602,2009,2,3,4,3,3,0
9602,2009,3,7,10,6,6,0
9602,2010,1,5,7,5,5,0
9602,2010,2,7,9,7,7,0
9602,2010,3,7,8,7,7,0
9602,2011,1,6,10,6,5,0
9603,2009,2,5,7,4,4,0
9603,2009,3,4,7,4,3,0
9603,2010,1,1,2,1,1,0
9603,2010,2,1,1,1,1,0
9603,2010,3,1,1,1,0,0
9603,2011,1,5,9,5,4,0
9604,2009,2,5,8,5,4,0
9604,2009,3,7,11,8,8,0
9604,2010,1,5,8,5,4,0
9604,2010,2,3,3,3,2,0
9604,2010,3,7,10,6,6,0
9604,2011,1,6,10,6,4,0
9701,2009,2,6,10,6,6,0
9701,2009,3,7,10,7,7,1
9701,2010,1,7,10,7,6,0
9701,2010,2,7,9,6,5,0
9701,2010,3,7,9,7,6,0
9701,2011,1,6,10,6,5,0
9702,2009,2,5,8,5,4,0
9702,2009,3,7,11,7,6,0
9702,2010,1,5,7,5,4,0
9702,2010,2,7,9,6,5,0
9702,2010,3,6,8,6,5,0
9702,2011,1,5,7,4,3,0
9703,2009,2,6,9,6,5,0
9703,2009,3,7,11,7,6,0
9703,2010,1,6,10,6,5,0
9703,2010,2,6,7,6,5,0
9703,2010,3,7,10,7,6,0
9703,2011,1,7,11,7,5,0
9704,2009,2,6,10,6,5,0
9704,2009,3,7,11,7,6,0
9704,2010,1,6,11,6,5,0
9704,2010,2,7,10,7,6,0
9704,2010,3,0,0,0,0,0
9704,2011,1,3,5,3,2,0
9802,2009,2,5,8,5,4,0
9802,2009,3,7,11,7,6,0
9802,2010,1,5,8,5,4,0
9802,2010,2,7,9,6,6,0
9802,2010,3,6,8,6,6,0
9802,2011,1,4,7,4,4,0
9803,2009,2,4,6,3,3,0
9803,2009,3,7,11,7,7,0
9803,2010,1,5,7,5,4,0
9803,2010,2,7,9,7,6,0
9803,2010,3,5,7,5,5,0
9803,2011,1,5,7,5,4,0
9804,2009,2,3,5,3,2,0
9804,2009,3,7,11,7,6,0
9804,2010,1,4,6,4,3,0
9804,2010,2,NaN,NaN,NaN,NaN,NaN
9804,2010,3,3,3,2,2,0
9804,2011,1,6,10,6,5,0
9805,2009,2,3,5,3,2,0
9805,2009,3,4,6,4,3,0
9805,2010,1,4,6,4,3,0
9805,2010,2,7,9,7,6,0
9805,2010,3,6,8,6,5,0
9805,2011,1,5,7,5,4,0
